system:index,AOD_RAW,date,.geo
MCD19A2_A2019001_h24v06_061_2023123143058_01,746.6180327288132,2019-01-01,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019001_h24v06_061_2023123143058_02,744.7807488664652,2019-01-01,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019002_h24v06_061_2023123145817_01,1479.3800872342956,2019-01-02,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019002_h24v06_061_2023123145817_03,1362.6516538244632,2019-01-02,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019003_h24v06_061_2023123152302_01,1104.871170058088,2019-01-03,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019003_h24v06_061_2023123152302_02,892.7249063997482,2019-01-03,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019004_h24v06_061_2023123154146_01,1195.7087616750803,2019-01-04,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019005_h24v06_061_2023123155950_01,1227.6714944778555,2019-01-05,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019005_h24v06_061_2023123155950_03,1067.8130479917959,2019-01-05,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
MCD19A2_A2019006_h24v06_061_2023123162514_02,1146.0992585552417,2019-01-06,"{""type"":""Polygon"",""coordinates"":[[[77.209,29.063843297574074],[77.06524627271047,29.045859703300184],[76.93307486284772,28.99335834401158],[76.82310162144289,28.91056635338199],[76.74410096095725,28.80413672126597],[76.7023015749563,28.682598794650552],[76.70091033048314,28.55566132212426],[76.73989536520409,28.43342918113007],[76.81603314307138,28.325599221804417],[76.92320183042348,28.240698909106573],[77.05288668748332,28.185424909280105],[77.19485228850279,28.164128878164803],[77.33793018713045,28.17848571704337],[77.47086762066988,28.227366385992838],[77.58318167673552,28.30692360933181],[77.6659632556974,28.41088486496332],[77.71257608093144,28.531033230871536],[77.7191985784903,28.65784333360858],[77.68516190273037,28.781227358352183],[77.613047238638,28.89133569066803],[77.50852100303712,28.979349456996772],[77.37990792053597,29.038199430660878],[77.23752770534287,29.06314880458351],[77.209,29.063843297574074]]]}"
