date,Temp_C,Humidity_pct,Wind_Speed_kmh
2019-01-01,12.6,50,2.4
2019-01-02,13.7,50,1.8
2019-01-03,13.3,50,5.4
2019-01-04,12.8,50,4.6
2019-01-05,13.2,50,5.3
2019-01-06,13.9,50,4.6
2019-01-07,13.0,50,4.7
2019-01-08,12.8,50,6.5
2019-01-09,13.1,50,8.2
2019-01-10,12.7,50,4.2
2019-01-11,12.8,50,1.7
2019-01-12,13.3,50,1.8
2019-01-13,14.5,50,3.2
2019-01-14,13.7,50,10.6
2019-01-15,12.3,50,8.9
2019-01-16,12.0,50,1.9
2019-01-17,12.8,50,2.1
2019-01-18,12.8,50,4.4
2019-01-19,14.3,50,2.8
2019-01-20,16.4,50,2.0
2019-01-21,16.4,50,9.7
2019-01-22,14.5,50,8.5
2019-01-23,13.8,50,2.8
2019-01-24,14.8,50,3.6
2019-01-25,13.4,50,5.4
2019-01-26,12.2,50,6.5
2019-01-27,11.5,50,11.5
2019-01-28,12.1,50,8.5
2019-01-29,12.4,50,5.9
2019-01-30,12.7,50,4.5
2019-01-31,14.2,50,6.6
2019-02-01,16.3,50,5.7
2019-02-02,12.9,50,8.8
2019-02-03,13.4,50,7.6
2019-02-04,14.3,50,3.6
2019-02-05,16.4,50,2.4
2019-02-06,19.5,50,5.7
2019-02-07,16.5,50,17.1
2019-02-08,14.9,50,7.6
2019-02-09,14.8,50,8.9
2019-02-10,13.5,50,6.5
2019-02-11,14.7,50,4.4
2019-02-12,16.2,50,1.7
2019-02-13,17.5,50,3.0
2019-02-14,17.7,50,7.3
2019-02-15,17.6,50,7.0
2019-02-16,16.0,50,6.8
2019-02-17,15.8,50,7.9
2019-02-18,17.6,50,6.6
2019-02-19,18.7,50,4.2
2019-02-20,18.3,50,4.6
2019-02-21,21.6,50,7.5
2019-02-22,19.1,50,12.2
2019-02-23,16.9,50,15.3
2019-02-24,17.0,50,8.0
2019-02-25,16.7,50,3.6
2019-02-26,16.0,50,6.4
2019-02-27,14.8,50,5.6
2019-02-28,14.5,50,7.2
2019-03-01,15.6,50,5.3
2019-03-02,15.2,50,4.7
2019-03-03,17.1,50,5.7
2019-03-04,19.1,50,5.5
2019-03-05,18.4,50,7.2
2019-03-06,17.4,50,6.9
2019-03-07,18.1,50,4.5
2019-03-08,19.0,50,4.4
2019-03-09,20.6,50,6.3
2019-03-10,19.2,50,5.4
2019-03-11,20.9,50,9.2
2019-03-12,21.0,50,4.7
2019-03-13,19.9,50,4.2
2019-03-14,18.3,50,6.1
2019-03-15,18.9,50,6.1
2019-03-16,19.5,50,5.8
2019-03-17,20.8,50,5.9
2019-03-18,20.7,50,4.0
2019-03-19,22.5,50,3.1
2019-03-20,24.9,50,5.8
2019-03-21,24.5,50,4.2
2019-03-22,23.5,50,9.3
2019-03-23,23.5,50,11.0
2019-03-24,24.3,50,7.8
2019-03-25,23.7,50,7.2
2019-03-26,23.3,50,8.5
2019-03-27,24.2,50,7.8
2019-03-28,26.1,50,3.0
2019-03-29,27.9,50,4.1
2019-03-30,29.4,50,5.6
2019-03-31,28.8,50,10.9
2019-04-01,27.7,50,10.3
2019-04-02,26.6,50,4.6
2019-04-03,27.7,50,5.8
2019-04-04,28.8,50,4.4
2019-04-05,29.6,50,5.0
2019-04-06,33.6,50,7.0
2019-04-07,30.8,50,9.4
2019-04-08,27.9,50,7.6
2019-04-09,29.1,50,5.0
2019-04-10,30.5,50,5.2
2019-04-11,31.1,50,5.2
2019-04-12,30.6,50,6.8
2019-04-13,31.4,50,9.4
2019-04-14,32.2,50,7.9
2019-04-15,32.4,50,7.3
2019-04-16,26.0,50,10.5
2019-04-17,24.3,50,11.7
2019-04-18,25.8,50,6.6
2019-04-19,27.5,50,6.4
2019-04-20,27.6,50,3.9
2019-04-21,29.3,50,5.7
2019-04-22,30.6,50,4.5
2019-04-23,32.1,50,5.0
2019-04-24,34.1,50,8.4
2019-04-25,33.8,50,7.9
2019-04-26,32.9,50,6.7
2019-04-27,33.7,50,10.2
2019-04-28,33.7,50,9.3
2019-04-29,33.7,50,6.1
2019-04-30,34.4,50,5.8
2019-05-01,33.3,50,5.3
2019-05-02,32.5,50,10.1
2019-05-03,32.6,50,8.4
2019-05-04,32.1,50,8.2
2019-05-05,32.6,50,9.0
2019-05-06,32.4,50,7.3
2019-05-07,32.3,50,7.9
2019-05-08,33.6,50,8.9
2019-05-09,34.6,50,12.4
2019-05-10,34.5,50,10.6
2019-05-11,33.9,50,7.8
2019-05-12,32.4,50,9.5
2019-05-13,32.1,50,7.2
2019-05-14,30.8,50,6.1
2019-05-15,29.4,50,7.4
2019-05-16,30.6,50,7.2
2019-05-17,29.6,50,6.9
2019-05-18,28.7,50,8.0
2019-05-19,31.9,50,8.2
2019-05-20,32.4,50,7.4
2019-05-21,33.8,50,7.1
2019-05-22,32.9,50,6.9
2019-05-23,32.6,50,6.8
2019-05-24,29.7,50,10.4
2019-05-25,31.2,50,10.3
2019-05-26,32.2,50,7.6
2019-05-27,34.0,50,7.6
2019-05-28,33.9,50,8.6
2019-05-29,35.0,50,7.8
2019-05-30,36.1,50,6.2
2019-05-31,36.5,50,5.7
2019-06-01,36.2,50,6.3
2019-06-02,36.2,50,9.0
2019-06-03,35.3,50,12.3
2019-06-04,35.2,50,9.3
2019-06-05,36.2,50,6.7
2019-06-06,36.4,50,5.7
2019-06-07,34.0,50,6.9
2019-06-08,35.9,50,5.1
2019-06-09,36.1,50,4.7
2019-06-10,37.3,50,4.8
2019-06-11,37.5,50,8.7
2019-06-12,35.4,50,9.7
2019-06-13,35.5,50,8.1
2019-06-14,36.5,50,11.1
2019-06-15,36.4,50,11.2
2019-06-16,31.5,50,16.7
2019-06-17,30.3,50,14.7
2019-06-18,28.5,50,11.1
2019-06-19,32.2,50,5.6
2019-06-20,32.4,50,5.5
2019-06-21,33.8,50,4.6
2019-06-22,35.6,50,4.9
2019-06-23,34.7,50,9.7
2019-06-24,31.7,50,9.7
2019-06-25,32.9,50,4.7
2019-06-26,35.0,50,5.7
2019-06-27,34.6,50,7.0
2019-06-28,34.9,50,8.2
2019-06-29,36.9,50,8.4
2019-06-30,36.7,50,9.8
2019-07-01,35.8,50,6.9
2019-07-02,35.1,50,6.2
2019-07-03,34.6,50,8.1
2019-07-04,30.9,50,7.4
2019-07-05,28.8,50,5.4
2019-07-06,33.4,50,5.7
2019-07-07,32.1,50,4.9
2019-07-08,33.7,50,5.7
2019-07-09,31.2,50,7.9
2019-07-10,32.9,50,8.6
2019-07-11,34.5,50,12.0
2019-07-12,34.2,50,9.7
2019-07-13,34.7,50,13.0
2019-07-14,33.6,50,11.1
2019-07-15,29.3,50,8.4
2019-07-16,28.5,50,8.4
2019-07-17,27.0,50,5.4
2019-07-18,27.0,50,4.2
2019-07-19,31.9,50,3.8
2019-07-20,30.7,50,5.1
2019-07-21,30.6,50,5.4
2019-07-22,31.3,50,4.4
2019-07-23,34.2,50,4.4
2019-07-24,33.3,50,6.6
2019-07-25,28.7,50,7.0
2019-07-26,28.6,50,6.1
2019-07-27,28.7,50,8.0
2019-07-28,30.1,50,9.7
2019-07-29,31.9,50,9.0
2019-07-30,31.5,50,7.1
2019-07-31,31.9,50,6.4
2019-08-01,32.0,50,6.8
2019-08-02,30.4,50,5.5
2019-08-03,29.5,50,5.4
2019-08-04,30.4,50,3.6
2019-08-05,31.1,50,3.3
2019-08-06,27.2,50,4.4
2019-08-07,30.9,50,5.8
2019-08-08,33.5,50,6.5
2019-08-09,31.2,50,13.4
2019-08-10,30.7,50,12.8
2019-08-11,32.9,50,6.8
2019-08-12,31.1,50,5.5
2019-08-13,30.4,50,7.0
2019-08-14,30.5,50,3.2
2019-08-15,30.6,50,8.0
2019-08-16,29.9,50,10.9
2019-08-17,26.9,50,11.2
2019-08-18,27.3,50,7.6
2019-08-19,30.7,50,4.0
2019-08-20,31.4,50,5.8
2019-08-21,32.0,50,5.3
2019-08-22,30.1,50,4.0
2019-08-23,31.0,50,4.8
2019-08-24,30.3,50,4.1
2019-08-25,29.3,50,5.6
2019-08-26,31.9,50,6.4
2019-08-27,32.9,50,4.9
2019-08-28,32.9,50,5.5
2019-08-29,32.8,50,6.9
2019-08-30,32.0,50,4.6
2019-08-31,32.2,50,4.2
2019-09-01,29.9,50,6.1
2019-09-02,31.8,50,4.3
2019-09-03,32.0,50,4.2
2019-09-04,31.5,50,3.7
2019-09-05,31.2,50,5.4
2019-09-06,31.4,50,5.1
2019-09-07,30.7,50,5.5
2019-09-08,31.0,50,4.2
2019-09-09,32.2,50,3.2
2019-09-10,32.4,50,2.6
2019-09-11,33.0,50,3.3
2019-09-12,32.6,50,7.5
2019-09-13,31.9,50,6.3
2019-09-14,31.3,50,7.5
2019-09-15,30.7,50,5.7
2019-09-16,32.3,50,3.9
2019-09-17,31.4,50,5.1
2019-09-18,30.6,50,6.7
2019-09-19,28.8,50,7.7
2019-09-20,29.8,50,4.7
2019-09-21,28.8,50,5.2
2019-09-22,26.9,50,6.0
2019-09-23,29.1,50,5.0
2019-09-24,28.6,50,5.3
2019-09-25,29.0,50,6.6
2019-09-26,29.0,50,9.1
2019-09-27,28.1,50,8.1
2019-09-28,27.9,50,9.2
2019-09-29,27.7,50,8.8
2019-09-30,27.4,50,6.4
2019-10-01,28.7,50,5.4
2019-10-02,28.1,50,3.4
2019-10-03,28.1,50,3.6
2019-10-04,27.2,50,5.6
2019-10-05,27.3,50,7.1
2019-10-06,26.7,50,4.5
2019-10-07,26.7,50,6.1
2019-10-08,26.5,50,6.3
2019-10-09,26.6,50,2.5
2019-10-10,26.7,50,2.2
2019-10-11,26.5,50,2.6
2019-10-12,26.8,50,2.3
2019-10-13,26.6,50,2.6
2019-10-14,26.5,50,2.0
2019-10-15,27.1,50,2.2
2019-10-16,27.3,50,1.9
2019-10-17,27.1,50,3.1
2019-10-18,27.3,50,4.5
2019-10-19,26.5,50,2.6
2019-10-20,25.2,50,3.7
2019-10-21,23.9,50,4.9
2019-10-22,23.7,50,6.8
2019-10-23,23.9,50,4.0
2019-10-24,24.0,50,1.4
2019-10-25,24.0,50,2.3
2019-10-26,23.7,50,1.4
2019-10-27,23.8,50,4.6
2019-10-28,24.0,50,3.6
2019-10-29,23.2,50,1.6
2019-10-30,24.1,50,2.5
2019-10-31,23.7,50,1.9
2019-11-01,24.0,50,1.6
2019-11-02,23.7,50,4.3
2019-11-03,23.4,50,5.5
2019-11-04,24.1,50,5.7
2019-11-05,22.8,50,7.0
2019-11-06,22.7,50,3.1
2019-11-07,21.4,50,4.1
2019-11-08,21.6,50,2.1
2019-11-09,21.6,50,4.8
2019-11-10,20.8,50,3.5
2019-11-11,19.9,50,2.4
2019-11-12,19.6,50,1.8
2019-11-13,20.2,50,0.8
2019-11-14,20.7,50,1.2
2019-11-15,21.1,50,2.3
2019-11-16,21.5,50,5.4
2019-11-17,21.5,50,8.9
2019-11-18,20.0,50,7.5
2019-11-19,18.9,50,3.3
2019-11-20,18.9,50,0.6
2019-11-21,19.3,50,0.6
2019-11-22,19.8,50,1.4
2019-11-23,20.1,50,4.5
2019-11-24,20.3,50,4.6
2019-11-25,20.2,50,1.7
2019-11-26,21.6,50,2.6
2019-11-27,20.1,50,3.8
2019-11-28,18.3,50,6.6
2019-11-29,18.1,50,3.1
2019-11-30,17.0,50,4.4
2019-12-01,15.6,50,3.8
2019-12-02,15.2,50,4.4
2019-12-03,15.4,50,5.0
2019-12-04,14.7,50,1.3
2019-12-05,14.4,50,0.8
2019-12-06,15.1,50,1.3
2019-12-07,15.9,50,2.1
2019-12-08,15.5,50,1.2
2019-12-09,14.8,50,1.3
2019-12-10,14.7,50,2.1
2019-12-11,14.9,50,1.2
2019-12-12,16.0,50,6.2
2019-12-13,15.2,50,7.1
2019-12-14,14.7,50,2.6
2019-12-15,14.2,50,4.7
2019-12-16,12.3,50,6.7
2019-12-17,11.4,50,6.8
2019-12-18,11.4,50,4.9
2019-12-19,10.8,50,1.9
2019-12-20,12.0,50,2.7
2019-12-21,12.9,50,3.7
2019-12-22,11.8,50,5.8
2019-12-23,10.9,50,7.6
2019-12-24,10.2,50,2.0
2019-12-25,9.4,50,5.6
2019-12-26,8.8,50,5.6
2019-12-27,8.5,50,3.1
2019-12-28,7.6,50,1.7
2019-12-29,8.0,50,1.8
2019-12-30,7.3,50,3.0
2019-12-31,7.8,50,3.6
2020-01-01,9.8,50,2.3
2020-01-02,12.8,50,2.6
2020-01-03,14.0,50,1.9
2020-01-04,13.6,50,3.1
2020-01-05,13.7,50,4.4
2020-01-06,14.4,50,3.2
2020-01-07,15.0,50,5.3
2020-01-08,13.2,50,5.6
2020-01-09,10.4,50,7.6
2020-01-10,10.7,50,7.8
2020-01-11,11.1,50,5.1
2020-01-12,13.1,50,3.5
2020-01-13,14.1,50,6.9
2020-01-14,13.8,50,4.8
2020-01-15,12.9,50,3.9
2020-01-16,13.2,50,4.4
2020-01-17,13.2,50,4.8
2020-01-18,12.3,50,2.9
2020-01-19,11.6,50,7.5
2020-01-20,11.6,50,6.3
2020-01-21,13.1,50,2.6
2020-01-22,12.8,50,6.3
2020-01-23,13.4,50,12.6
2020-01-24,13.6,50,12.1
2020-01-25,12.8,50,3.3
2020-01-26,13.8,50,3.4
2020-01-27,14.7,50,3.5
2020-01-28,16.0,50,7.6
2020-01-29,14.5,50,4.8
2020-01-30,13.6,50,6.9
2020-01-31,12.6,50,5.9
2020-02-01,12.5,50,3.2
2020-02-02,12.2,50,6.0
2020-02-03,12.6,50,4.1
2020-02-04,13.3,50,2.1
2020-02-05,13.6,50,6.0
2020-02-06,12.9,50,5.5
2020-02-07,12.8,50,3.5
2020-02-08,13.2,50,5.0
2020-02-09,13.7,50,3.4
2020-02-10,13.8,50,4.4
2020-02-11,14.0,50,2.5
2020-02-12,16.3,50,7.4
2020-02-13,19.6,50,12.8
2020-02-14,19.4,50,14.8
2020-02-15,18.1,50,12.9
